city,country,latitude,longitude,max_temp,humidity,windspeed,cloudiness
Olbia,IT,40.92,9.49,69.8,77,11.41,0
Chillicothe,US,39.33,-82.98,80.01,22,11.41,1
Chupa,PE,-15.11,-69.99,64.4,18,11.41,0
Sibolga,ID,1.74,98.78,80.73,82,12.5,95
Abbeville,FR,50.11,1.83,57.99,93,10.29,0
Mahon,IE,51.89,-8.4,53.6,93,12.75,40
Troitsko-Pechorsk,RU,62.71,56.19,34.62,97,4.68,100
Puerto Leguizamo,CO,-0.19,-74.78,91.57,46,2.82,79
Kondinskoye,RU,59.65,67.41,31.3,92,10.22,44
Pisco,PE,-13.71,-76.2,71.6,30,11.41,20
Menomonie,US,44.88,-91.92,70.0,19,5.82,1
Coihaique,CL,-45.58,-72.07,64.4,39,6.93,0
Banda Aceh,ID,5.56,95.32,82.57,76,9.53,19
Lahad Datu,MY,5.02,118.33,70.67,95,1.1,0
Kirakira,SB,-10.46,161.92,79.96,80,6.82,91
Agadez,NE,16.97,7.99,91.4,17,3.4,1
Pombas,BR,-15.9,-54.74,79.29,69,4.23,95
Denpasar,ID,-8.65,115.22,77.0,94,5.82,75
Bubaque,GW,11.28,-15.83,82.08,77,7.9,30
Dudestii Vechi,RO,46.05,20.48,57.0,100,3.36,0
Warrensburg,US,38.76,-93.74,78.01,41,10.29,1
Flin Flon,CA,54.77,-101.88,44.6,70,11.41,75
Srandakan,ID,-7.94,110.25,75.42,87,11.25,100
Jijiga,ET,9.35,42.8,61.67,86,7.25,93
Buala,SB,-8.15,159.59,81.47,76,6.98,49
Sisimiut,GL,66.94,-53.67,43.42,64,11.79,0
Kenai,US,60.55,-151.26,50.0,53,4.7,1
Toamasina,MG,-18.17,49.38,68.0,94,1.7,40
Huarmey,PE,-10.07,-78.15,61.51,93,11.79,53
Salekhard,RU,66.54,66.62,30.6,86,6.78,47
Evanston,US,42.04,-87.69,73.99,35,8.05,1
Naze,NG,5.43,7.07,77.0,94,5.57,75
Carballo,ES,43.21,-8.69,66.99,82,14.99,75
Sabzevar,IR,36.21,57.68,68.96,11,7.99,0
Burns Lake,CA,54.23,-125.76,46.68,50,8.72,0
Rome,IT,41.89,12.48,69.8,82,3.36,0
Chernyakhovsk,RU,54.64,21.81,48.24,91,5.88,0
Sept-Iles,CA,50.2,-66.38,46.99,100,10.29,90
Misratah,LY,32.38,15.09,77.83,74,9.84,0
Terrace,CA,54.52,-128.61,48.2,93,12.75,75
Dudinka,RU,69.41,86.18,32.0,96,6.71,40
Launceston,AU,-41.43,147.14,52.0,87,13.87,90
Huai Thalaeng,TH,15.0,102.65,71.37,83,7.05,17
Ust-Kuyga,RU,70.0,135.55,27.72,96,2.84,100
Grants,US,35.15,-107.85,77.0,23,3.36,75
Kohila,EE,59.17,24.75,42.8,93,2.24,0
Vila Franca do Campo,PT,37.72,-25.43,71.6,94,5.82,75
Sandpoint,US,48.28,-116.55,66.0,63,6.93,75
Loknya,RU,54.21,39.24,39.0,74,1.01,33
Canutama,BR,-6.53,-64.38,93.19,42,2.59,50
Tanout,NE,14.97,8.88,97.67,14,7.67,72
Kerema,PG,-7.96,145.78,78.45,86,16.2,96
Ler,NO,63.2,10.3,52.0,57,9.17,0
Yichang,CN,30.77,111.32,57.96,72,4.5,0
Lugovoy,RU,59.72,65.88,30.49,88,8.97,56
Buckingham,GB,52.0,-0.98,57.99,87,10.29,20
Pabrade,LT,55.0,25.78,46.4,81,1.12,0
Bodden Town,KY,19.28,-81.25,87.8,74,9.17,20
Nemuro,JP,43.32,145.57,59.1,65,7.2,0
Mogadishu,SO,2.04,45.34,77.98,78,16.06,100
Moose Factory,CA,51.26,-80.61,53.6,62,12.75,75
Alekseyevsk,RU,57.84,108.35,43.11,92,5.99,100
Hyeres,FR,43.12,6.14,71.6,68,3.36,0
Moranbah,AU,-22.0,148.04,61.85,89,8.68,38
Borovoy,RU,63.23,52.89,35.01,96,7.14,100
Loikaw,MM,19.67,97.21,62.52,99,2.26,98
Sabang,PH,13.8,121.11,77.0,95,2.33,0
Aswan,EG,24.09,32.9,82.4,7,5.82,0
Wana,PK,32.31,69.59,60.03,74,1.34,0
Anderson,US,34.51,-82.65,93.99,41,9.17,1
North Bend,US,43.41,-124.22,78.01,77,11.41,75
Primorsko-Akhtarsk,RU,46.05,38.18,55.26,90,11.95,65
Krasnyy Chikoy,RU,50.36,108.75,47.59,95,3.11,22
Axim,GH,4.87,-2.24,77.04,91,10.33,22
Makueni,KE,-1.8,37.62,63.69,79,6.08,95
Makakilo City,US,21.35,-158.09,87.8,74,9.17,1
Adre,TD,13.47,22.2,78.55,64,17.69,100
Abasolo,MX,20.45,-101.53,82.4,45,7.47,75
Lake City,US,38.03,-107.32,73.99,42,11.41,75
Havoysund,NO,71.0,24.66,46.4,93,11.41,75
